"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","514","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","Sat Jun 20 13:18:23 UTC 2026","passed","Sat Jun 20 13:18:23 UTC 2026","TestOperationsGRPC","test_operations","",""
"","28","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","Sat Jun 20 13:18:23 UTC 2026","passed","Sat Jun 20 13:18:23 UTC 2026","TestOperationsGRPC","test_operations","",""
"","655","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Sat Jun 20 13:18:24 UTC 2026","passed","Sat Jun 20 13:18:24 UTC 2026","TestOperationsHTTP","test_operations","",""
"","27","[gRPC] Get user details. User with active credit card account","tests.suites.grpc","Sat Jun 20 13:18:22 UTC 2026","passed","Sat Jun 20 13:18:22 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","514","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","Sat Jun 20 13:18:24 UTC 2026","passed","Sat Jun 20 13:18:25 UTC 2026","TestOperationsHTTP","test_operations","",""
"","32","[gRPC] Get account details. User with active debit card account","tests.suites.grpc","Sat Jun 20 13:18:22 UTC 2026","passed","Sat Jun 20 13:18:22 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","49","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","Sat Jun 20 13:18:24 UTC 2026","passed","Sat Jun 20 13:18:24 UTC 2026","TestOperationsHTTP","test_operations","",""
"
        Сценарий:
        Пользователь с активным кредитным счётом
        запрашивает агрегированные данные через gateway-service.

        Управляющая переменная теста — сценарий.
        Все данные внешнего мира выбираются через него.
        ","58","[HTTP] Get user details. User with active credit card account","tests.suites.http","Sat Jun 20 13:18:23 UTC 2026","passed","Sat Jun 20 13:18:23 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","14","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","Sat Jun 20 13:18:23 UTC 2026","passed","Sat Jun 20 13:18:23 UTC 2026","TestOperationsGRPC","test_operations","",""
"","15","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Sat Jun 20 13:18:24 UTC 2026","passed","Sat Jun 20 13:18:24 UTC 2026","TestOperationsHTTP","test_operations","",""
"","557","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","Sat Jun 20 13:18:22 UTC 2026","passed","Sat Jun 20 13:18:23 UTC 2026","TestOperationsGRPC","test_operations","",""
"","47","[HTTP] Get account details. User with active debit card account","tests.suites.http","Sat Jun 20 13:18:23 UTC 2026","passed","Sat Jun 20 13:18:24 UTC 2026","TestGatewayHTTP","test_gateway","",""
